class,clip2,clip4,auroc
fabric,3,3,0.4356902356902357
fruit_jelly,3,3,0.5183333333333333
rice,3,3,0.47989417989417993
sheet_metal,3,3,0.3768518518518519
vial,3,3,0.6712925170068026
wallplugs,3,3,0.5977777777777779
walnuts,3,3,0.6327777777777779
fabric,4,4,0.3867003367003367
fruit_jelly,4,4,0.5491666666666667
rice,4,4,0.5182539682539683
sheet_metal,4,4,0.33425925925925926
vial,4,4,0.601360544217687
wallplugs,4,4,0.6440740740740741
walnuts,4,4,0.4892592592592592
fabric,5,5,0.3730639730639731
fruit_jelly,5,5,0.5458333333333334
rice,5,5,0.45701058201058203
sheet_metal,5,5,0.3532407407407408
vial,5,5,0.6062585034013606
wallplugs,5,5,0.6592592592592593
walnuts,5,5,0.48648148148148146
